dist,x,y,height,dsm,dtm
425.6788324,243457.5085,80252.6958,41.335873,276.200012,234.847702
426.8612736,243458.1391,80251.69555,40.30307,275.149994,234.840683
428.0437148,243458.7697,80250.69529,39.881367,274.76001,234.871521
429.226156,243459.4003,80249.69503,36.576298,271.410004,234.785767
430.4085972,243460.0309,80248.69477,18.017088,252.729996,234.697403
431.5910384,243460.6615,80247.69452,17.75503,252.5,234.744583
432.7734796,243461.2921,80246.69426,37.625244,272.290009,234.729996
433.9559208,243461.9227,80245.694,37.652939,272.290009,234.584991
435.138362,243462.5533,80244.69374,39.2635,273.769989,234.504745
436.3208032,243463.1839,80243.69349,40.337288,274.390015,234.050003
437.5032444,243463.8145,80242.69323,40.033321,274.200012,234.100143
438.6856856,243464.4451,80241.69297,32.529274,266.399628,233.853287
439.8681268,243465.0757,80240.69271,25.274382,258.809998,233.637497
441.050568,243465.7063,80239.69246,38.633183,272.209991,233.497635
442.2330092,243466.3369,80238.6922,26.812191,259.950012,233.214203
443.4154504,243466.9675,80237.69194,33.028557,266.170013,233.099854
444.5978916,243467.5981,80236.69169,26.616066,259.48999,232.821106
445.7803328,243468.2287,80235.69143,27.306314,259.869995,232.531143
446.962774,243468.8593,80234.69117,27.426786,259.910004,232.417603
448.1452152,243469.4899,80233.69091,26.840029,258.940002,232.147751
449.3276564,243470.1205,80232.69066,27.497412,259.369995,231.814407
450.5100976,243470.7511,80231.6904,44.660976,276.26001,231.670425
451.6925388,243471.3817,80230.69014,45.831821,276.899994,231.251572
452.87498,243472.0123,80229.68988,45.892792,276.850006,230.859543
454.0574212,243472.6429,80228.68963,46.43615,277.040009,230.698654
455.2398624,243473.2735,80227.68937,53.513321,283.940002,230.339798
456.4223036,243473.9041,80226.68911,52.937584,283.089996,230.158142
457.6047448,243474.5347,80225.68886,54.250721,283.869995,229.755219
458.787186,243475.1653,80224.6886,53.722523,283.040009,229.301224
459.9696272,243475.7959,80223.68834,56.087151,285.26001,229.098465
461.1520684,243476.4265,80222.68808,57.089981,285.709991,228.636276
462.3345096,243477.057,80221.68783,56.659649,284.929993,228.237656
463.5169508,243477.6876,80220.68757,62.248032,290.220001,228.065445
464.699392,243478.3182,80219.68731,64.267441,291.920013,227.676727
465.8818332,243478.9488,80218.68705,63.973839,291.51001,227.539658
467.0642744,243479.5794,80217.6868,60.16539,287.170013,227.195023
468.2467156,243480.21,80216.68654,62.7178,289.290009,226.647064
