dist,x,y,dsm,dtm
4263.098963,244767.8234,81096.81987,223.850006,208.801498
4278.489212,244781.4116,81104.04619,210.779999,209.179993
4293.879461,244794.9999,81111.2725,238.330002,209.962387
4309.26971,244808.5881,81118.49881,227.619995,212.064514
4324.659959,244822.1764,81125.72513,247.050003,214.430878
4340.050208,244835.7646,81132.95144,234.020004,216.917114
4355.440457,244849.3528,81140.17776,258.070007,219.78064
4370.830706,244862.9411,81147.40407,247.720001,222.347443
4386.220955,244876.5293,81154.63038,258.140015,223.916641
4401.611204,244890.1175,81161.8567,237.789993,225.317307
4417.001453,244903.7058,81169.08301,254.570007,224.660309
4432.391702,244917.294,81176.30932,252.75,224.436783
4447.781951,244930.8822,81183.53564,250,225.62233
4463.1722,244944.4705,81190.76195,259.390015,227.297226
4478.562449,244958.0587,81197.98827,269.429993,228.912109
4493.952698,244971.6469,81205.21458,252.25,230.077332
4509.342947,244985.2352,81212.44089,254.509995,230.569183
4524.733196,244998.8234,81219.66721,258.670013,230.554749
4540.123445,245012.4117,81226.89352,255.710007,230.447159
4555.513694,245025.9999,81234.11983,255.649994,229.903488
4570.903943,245039.5881,81241.34615,241.779999,229.780197
4586.294191,245053.1764,81248.57246,235.729996,232.259995
4601.68444,245066.7646,81255.79877,269.089996,234.539993
4617.074689,245080.3528,81263.02509,266.799988,236.574661
4632.464938,245093.9411,81270.2514,259.73999,237.227722
4647.855187,245107.5293,81277.47772,267.149994,236.992661
4663.245436,245121.1175,81284.70403,270.119995,235.884888
4678.635685,245134.7058,81291.93034,274.059998,234.114136
4694.025934,245148.294,81299.15666,251.369995,231.471802
4709.416183,245161.8822,81306.38297,248.600006,228.823044
4724.806432,245175.4705,81313.60928,247.660004,226.179993
4740.196681,245189.0587,81320.8356,251.869995,222.696564
4755.58693,245202.647,81328.06191,254.559998,219.242706
4770.977179,245216.2352,81335.28823,246.449997,215.924393
4786.367428,245229.8234,81342.51454,233.649994,212.951492
4801.757677,245243.4117,81349.74085,240.789993,209.635681
4817.147926,245256.9999,81356.96717,240.309998,206.119064
4832.538175,245270.5881,81364.19348,230.300003,203.108307
4847.928424,245284.1764,81371.41979,230.929993,202.30954
4863.318673,245297.7646,81378.64611,236.550003,202.213791
4878.708922,245311.3528,81385.87242,232.070007,202.13559
4894.099171,245324.9411,81393.09874,234.020004,202.535065
4909.48942,245338.5293,81400.32505,240.779999,202.83992
4924.879669,245352.1175,81407.55136,241.720001,203.040497
4940.269918,245365.7058,81414.77768,228.190002,203.30452
4955.660167,245379.294,81422.00399,243.880005,204.903137
4971.050416,245392.8823,81429.2303,246.949997,205.242996
4986.440665,245406.4705,81436.45662,239.050003,205.719086
5001.830914,245420.0587,81443.68293,228.399994,205.58667
5017.221163,245433.647,81450.90925,213.369995,205.871841
5032.611411,245447.2352,81458.13556,229.75,205.839279
5048.00166,245460.8234,81465.36187,238.740005,205.772995
5063.391909,245474.4117,81472.58819,233.130005,205.199249
5078.782158,245487.9999,81479.8145,225.160004,204.309998
5094.172407,245501.5881,81487.04081,224.089996,204.276581
5109.562656,245515.1764,81494.26713,224.899994,205.995117
