dist,x,y,dsm,dtm,height
180.3900198,242871.3473,80179.31119,452.600006,392.396454,60.349617
181.5245482,242872.3754,80179.79096,452.049988,393.130005,59.097198
182.6590766,242873.4035,80180.27074,452.910004,393.339996,59.8046
183.7936051,242874.4316,80180.75051,451.470001,393.675354,57.931145
184.9281335,242875.4597,80181.23029,450.98999,394.020233,57.0849
186.0626619,242876.4878,80181.71007,450.670013,394.431854,56.325603
187.1971903,242877.5159,80182.18984,449.339996,394.856628,54.524162
188.3317188,242878.544,80182.66962,447.799988,395.26001,52.423637
189.4662472,242879.5721,80183.14939,447.089996,395.529999,51.57193
190.6007756,242880.6002,80183.62917,446.540009,395.953186,50.78199
191.735304,242881.6282,80184.10894,444.859985,396.373962,48.535255
192.8698325,242882.6563,80184.58872,443.579987,396.784637,46.895306
194.0043609,242883.6844,80185.06849,436.410004,397.184174,39.239311
195.1388893,242884.7125,80185.54827,435.399994,397.477051,38.030163
196.2734178,242885.7406,80186.02805,434.480011,397.851105,36.75544
197.4079462,242886.7687,80186.50782,420.380005,398.196808,22.317558
198.5424746,242887.7968,80186.9876,422.279999,398.552429,23.564344
199.677003,242888.8249,80187.46737,423.290009,399.019745,24.112988
200.8115315,242889.853,80187.94715,423.190002,399.385437,23.801662
201.9460599,242890.8811,80188.42692,438.440002,399.862885,38.508869
203.0805883,242891.9091,80188.9067,439.369995,400.24173,39.164349
204.2151167,242892.9372,80189.38647,439.619995,400.745941,38.82399
205.3496452,242893.9653,80189.86625,439.859985,401.091888,38.72229
206.4841736,242894.9934,80190.34603,439.630005,401.62146,38.157986
207.618702,242896.0215,80190.8258,438.640015,402.356903,36.462566
208.7532304,242897.0496,80191.30558,441.269989,402.877563,38.250813
209.8877589,242898.0777,80191.78535,441.380005,403.262695,38.22834
211.0222873,242899.1058,80192.26513,442.160004,403.83197,38.284237
212.1568157,242900.1339,80192.7449,442.320007,404.165527,38.055443
213.2913441,242901.162,80193.22468,434.75,404.685394,30.025141
214.4258726,242902.1901,80193.70445,446.290009,405.107666,41.246799
215.560401,242903.2181,80194.18423,445.769989,405.781158,40.175056
216.6949294,242904.2462,80194.66401,444.579987,406.123779,38.567688
217.8294578,242905.2743,80195.14378,434.049988,406.628418,27.333124
218.9639863,242906.3024,80195.62356,439.670013,406.987091,32.458298
220.0985147,242907.3305,80196.10333,440.059998,407.496765,32.681118
221.2330431,242908.3586,80196.58311,439.950012,407.736389,32.227779
222.3675716,242909.3867,80197.06288,437.130005,408.160004,29.028133
223.5021,242910.4148,80197.54266,430.049988,408.23999,21.692305
224.6366284,242911.4429,80198.02243,435.559998,408.717896,26.873804
225.7711568,242912.471,80198.50221,435.730011,409.022522,26.62195
226.9056853,242913.499,80198.98199,430.529999,409.320496,21.11812
228.0402137,242914.5271,80199.46176,433.109985,409.761047,23.345354
229.1747421,242915.5552,80199.94154,433.309998,410.0242,23.308081
230.3092705,242916.5833,80200.42131,433.279999,410.444824,22.843441
231.443799,242917.6114,80200.90109,430.589996,410.633179,19.990993
232.5783274,242918.6395,80201.38086,429.230011,410.993988,18.35516
233.7128558,242919.6676,80201.86064,429.209991,411.127075,18.106228
234.8473842,242920.6957,80202.34042,445.570007,411.299988,34.229961
235.9819127,242921.7238,80202.82019,445.410004,411.458282,33.87141
237.1164411,242922.7519,80203.29997,445.079987,411.632477,33.364292
238.2509695,242923.78,80203.77974,426.549988,411.600006,14.943403
239.3854979,242924.808,80204.25952,430.640015,411.829987,18.856413
240.5200264,242925.8361,80204.73929,430.869995,411.779999,19.201494
241.6545548,242926.8642,80205.21907,434.130005,412.005768,22.076767
242.7890832,242927.8923,80205.69884,433.98999,411.927948,21.828911
243.9236117,242928.9204,80206.17862,435.380005,411.987396,23.418339
245.0581401,242929.9485,80206.6584,438.679993,411.771332,27.008276
246.1926685,242930.9766,80207.13817,437.970001,411.78775,26.275034
247.3271969,242932.0047,80207.61795,438.690002,411.425415,27.399406
248.4617254,242933.0328,80208.09772,431.130005,411.347229,19.709421
249.5962538,242934.0609,80208.5775,436.619995,411.134277,25.5051
250.7307822,242935.0889,80209.05727,433.359985,411.075439,22.297729
251.8653106,242936.117,80209.53705,433.649994,410.841431,22.73131
252.9998391,242937.1451,80210.01682,433.200012,410.673737,22.656384
254.1343675,242938.1732,80210.4966,433.850006,410.339355,23.49066
255.2688959,242939.2013,80210.97638,433.600006,410.097351,23.575054
256.4034243,242940.2294,80211.45615,431.369995,409.947571,21.309612
257.5379528,242941.2575,80211.93593,428.480011,409.67691,18.748562
258.6724812,242942.2856,80212.4157,425.679993,409.609985,16.058868
259.8070096,242943.3137,80212.89548,427.690002,409.179993,18.548977
260.941538,242944.3418,80213.37525,426.26001,409.480011,16.787619
262.0760665,242945.3699,80213.85503,428.170013,408.991791,19.259697
263.2105949,242946.3979,80214.3348,430.5,408.788574,21.664602
264.3451233,242947.426,80214.81458,430.559998,408.453766,22.122547
265.4796518,242948.4541,80215.29436,429.73999,408.15036,21.639153
266.6141802,242949.4822,80215.77413,429.709991,407.820007,22.078478
267.7487086,242950.5103,80216.25391,428.429993,407.533325,21.157345
268.883237,242951.5384,80216.73368,428.839996,406.923981,21.652946
270.0177655,242952.5665,80217.21346,429.769989,406.434418,23.137253
271.1522939,242953.5946,80217.69323,428.799988,405.940002,22.848833
272.2868223,242954.6227,80218.17301,427.859985,405.383545,22.354683
273.4213507,242955.6508,80218.65278,424.549988,404.973907,19.484808
274.5558792,242956.6788,80219.13256,426,404.420013,21.795212
275.6904076,242957.7069,80219.61234,426.690002,403.851105,22.942726
276.824936,242958.735,80220.09211,426.829987,403.084534,23.998814
277.9594644,242959.7631,80220.57189,427.140015,402.536346,24.850473
279.0939929,242960.7912,80221.05166,426.019989,401.844574,24.208158
280.2285213,242961.8193,80221.53144,426.609985,401.243042,25.197803
281.3630497,242962.8474,80222.01121,425.549988,400.430634,24.942362
282.4975781,242963.8755,80222.49099,424.329987,399.85379,24.221642
283.6321066,242964.9036,80222.97077,424.019989,399.250366,24.916086
284.766635,242965.9317,80223.45054,419.850006,398.491669,21.278702
285.9011634,242966.9598,80223.93032,419.279999,397.947571,21.232658
287.0356919,242967.9878,80224.41009,425.299988,397.20108,28.207779
288.1702203,242969.0159,80224.88987,424.660004,396.149048,28.639019
289.3047487,242970.044,80225.36964,424.700012,395.449005,29.468145
290.4392771,242971.0721,80225.84942,424.579987,394.941101,29.561222
291.5738056,242972.1002,80226.32919,420.630005,394.280151,26.31246
292.708334,242973.1283,80226.80897,418.399994,393.830017,24.698496
293.8428624,242974.1564,80227.28875,418.359985,393.600006,24.827429
294.9773908,242975.1845,80227.76852,417.570007,393.170013,24.260159
296.1119193,242976.2126,80228.2483,416.059998,392.070679,23.877424
297.2464477,242977.2407,80228.72807,407.640015,391.34726,16.039312
298.3809761,242978.2688,80229.20785,406.519989,390.348999,16.254059
299.5155045,242979.2968,80229.68762,413.809998,389.663391,24.583597
300.650033,242980.3249,80230.1674,413.880005,388.753967,25.35607
301.7845614,242981.353,80230.64717,403.880005,388.103424,15.671899
302.9190898,242982.3811,80231.12695,405.720001,387.209351,18.753063
304.0536182,242983.4092,80231.60673,405.630005,386.594208,18.917274
305.1881467,242984.4373,80232.0865,405.540009,385.713104,19.585285
306.3226751,242985.4654,80232.56628,403.25,385.146942,17.798365
307.4572035,242986.4935,80233.04605,400.193237,384.287811,15.988025
308.591732,242987.5216,80233.52583,399.290009,383.697937,15.691801
309.7262604,242988.5497,80234.0056,394.730011,382.879822,11.823462
310.8607888,242989.5777,80234.48538,403.290009,382.261688,21.139917
311.9953172,242990.6058,80234.96515,403.369995,381.669891,21.759777
313.1298457,242991.6339,80235.44493,403.160004,380.847839,22.546621
314.2643741,242992.662,80235.92471,402.959991,380.294189,22.463549
315.3989025,242993.6901,80236.40448,398.951416,379.565002,19.460209
316.5334309,242994.7182,80236.88426,395.570007,378.905792,16.713037
317.6679594,242995.7463,80237.36403,396.390015,378.520905,17.966455
318.8024878,242996.7744,80237.84381,397.549988,378.339996,19.458897
319.9370162,242997.8025,80238.32358,398.329987,377.450012,20.891851
321.0715446,242998.8306,80238.80336,397.059998,376.803345,20.285326
322.2060731,242999.8587,80239.28313,396.149994,375.869171,20.277525
323.3406015,243000.8867,80239.76291,396.390015,375.222504,20.934282
324.4751299,243001.9148,80240.24269,393.579987,374.265533,19.421089
325.6096583,243002.9429,80240.72246,394.380005,373.454468,21.325119
326.7441868,243003.971,80241.20224,406.390015,372.33313,34.455757
327.8787152,243004.9991,80241.68201,406.630005,371.557098,35.080215
329.0132436,243006.0272,80242.16179,407.109985,369.512207,37.731743
330.1477721,243007.0553,80242.64156,407.459991,368.932495,38.489391
331.2823005,243008.0834,80243.12134,406.230011,368.118317,38.115467
332.4168289,243009.1115,80243.60112,401.670013,367.216858,34.693424
333.5513573,243010.1396,80244.08089,393.079987,366.513672,26.681393
334.6858858,243011.1676,80244.56067,410.619995,366.660004,44.460987
